,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R1.3-M,R,FAIR
A2-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A,"nan  CI=[nan, nan]","0.58 *** CI=[0.38, 0.73]","nan  CI=[nan, nan]","0.46 *** CI=[0.26, 0.63]","0.21  CI=[nan, nan]","nan  CI=[nan, nan]","0.65 *** CI=[0.48, 0.79]","0.99 *** CI=[0.98, 1.00]","nan  CI=[nan, nan]","0.79 *** CI=[0.65, 0.90]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.56 *** CI=[0.28, 0.76]","0.40 *** CI=[nan, nan]","0.19  CI=[-0.02, 0.35]","0.50 *** CI=[0.25, 0.70]","0.23  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.56 *** CI=[0.29, 0.77]","0.56 *** CI=[0.36, 0.73]","0.74 *** CI=[0.58, 0.85]"
I1-D,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
I1-M,"nan  CI=[nan, nan]","0.51 *** CI=[0.20, 0.74]","nan  CI=[nan, nan]","0.35 ** CI=[0.13, 0.54]","0.23  CI=[nan, nan]","nan  CI=[nan, nan]","0.53 *** CI=[0.32, 0.70]","0.49 *** CI=[0.25, 0.70]","nan  CI=[nan, nan]","0.78 *** CI=[0.56, 0.95]","nan  CI=[nan, nan]","0.56 *** CI=[0.28, 0.76]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.58 *** CI=[nan, nan]","0.26 * CI=[0.17, 0.35]","0.82 *** CI=[0.68, 0.90]","0.17  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.89 *** CI=[0.77, 0.96]","0.73 *** CI=[0.59, 0.82]"
I2,"nan  CI=[nan, nan]","0.24  CI=[nan, nan]","nan  CI=[nan, nan]","0.43 *** CI=[nan, nan]","-0.04  CI=[nan, nan]","nan  CI=[nan, nan]","0.39 ** CI=[nan, nan]","0.35 ** CI=[0.07, 0.55]","nan  CI=[nan, nan]","0.53 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.40 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.58 *** CI=[nan, nan]","1.00 *** CI=[nan, nan]","0.15  CI=[nan, nan]","0.56 *** CI=[nan, nan]","0.10  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.58 *** CI=[nan, nan]","0.52 *** CI=[nan, nan]","0.47 *** CI=[0.27, 0.60]"
I3-D,"nan  CI=[nan, nan]","0.16  CI=[0.09, 0.24]","nan  CI=[nan, nan]","0.60 *** CI=[0.44, 0.74]","0.06  CI=[nan, nan]","nan  CI=[nan, nan]","0.59 *** CI=[0.44, 0.72]","0.16  CI=[-0.08, 0.35]","nan  CI=[nan, nan]","0.22  CI=[0.14, 0.31]","nan  CI=[nan, nan]","0.19  CI=[-0.02, 0.35]","nan  CI=[nan, nan]","0.26 * CI=[0.17, 0.35]","0.15  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.75 *** CI=[0.60, 0.86]","0.26 * CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.26 * CI=[0.17, 0.36]","0.33 ** CI=[0.14, 0.49]","0.60 *** CI=[0.45, 0.72]"
I,"nan  CI=[nan, nan]","0.43 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.61 *** CI=[0.42, 0.75]","0.17  CI=[nan, nan]","nan  CI=[nan, nan]","0.71 *** CI=[0.56, 0.83]","0.43 *** CI=[0.17, 0.66]","nan  CI=[nan, nan]","0.66 *** CI=[0.47, 0.80]","nan  CI=[nan, nan]","0.50 *** CI=[0.25, 0.70]","nan  CI=[nan, nan]","0.82 *** CI=[0.68, 0.90]","0.56 *** CI=[nan, nan]","0.75 *** CI=[0.60, 0.86]","1.00 *** CI=[1.00, 1.00]","0.27 * CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.82 *** CI=[0.70, 0.89]","0.79 *** CI=[0.62, 0.90]","0.85 *** CI=[0.74, 0.91]"
R1.1,"nan  CI=[nan, nan]","0.11  CI=[nan, nan]","nan  CI=[nan, nan]","0.47 *** CI=[nan, nan]","0.04  CI=[nan, nan]","nan  CI=[nan, nan]","0.46 *** CI=[nan, nan]","0.23  CI=[0.12, 0.33]","nan  CI=[nan, nan]","0.15  CI=[nan, nan]","nan  CI=[nan, nan]","0.23  CI=[nan, nan]","nan  CI=[nan, nan]","0.17  CI=[nan, nan]","0.10  CI=[nan, nan]","0.26 * CI=[nan, nan]","0.27 * CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.17  CI=[nan, nan]","0.61 *** CI=[nan, nan]","0.49 *** CI=[nan, nan]"
R1.2,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
R1.3-D,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
R1.3-M,"nan  CI=[nan, nan]","0.51 *** CI=[0.24, 0.74]","nan  CI=[nan, nan]","0.35 ** CI=[0.13, 0.52]","0.23  CI=[nan, nan]","nan  CI=[nan, nan]","0.53 *** CI=[0.33, 0.69]","0.49 *** CI=[0.23, 0.71]","nan  CI=[nan, nan]","0.78 *** CI=[0.57, 0.94]","nan  CI=[nan, nan]","0.56 *** CI=[0.29, 0.77]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.58 *** CI=[nan, nan]","0.26 * CI=[0.17, 0.36]","0.82 *** CI=[0.70, 0.89]","0.17  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.89 *** CI=[0.78, 0.96]","0.73 *** CI=[0.60, 0.82]"
R,"nan  CI=[nan, nan]","0.46 *** CI=[0.21, 0.65]","nan  CI=[nan, nan]","0.50 *** CI=[0.28, 0.67]","0.20  CI=[nan, nan]","nan  CI=[nan, nan]","0.65 *** CI=[0.44, 0.78]","0.50 *** CI=[0.30, 0.69]","nan  CI=[nan, nan]","0.69 *** CI=[0.50, 0.84]","nan  CI=[nan, nan]","0.56 *** CI=[0.36, 0.73]","nan  CI=[nan, nan]","0.89 *** CI=[0.77, 0.96]","0.52 *** CI=[nan, nan]","0.33 ** CI=[0.14, 0.49]","0.79 *** CI=[0.62, 0.90]","0.61 *** CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.89 *** CI=[0.78, 0.96]","1.00 *** CI=[1.00, 1.00]","0.81 *** CI=[0.71, 0.88]"
FAIR,"nan  CI=[nan, nan]","0.49 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.82 *** CI=[0.66, 0.92]","0.19  CI=[nan, nan]","nan  CI=[nan, nan]","0.92 *** CI=[0.82, 0.98]","0.70 *** CI=[0.54, 0.82]","nan  CI=[nan, nan]","0.67 *** CI=[0.51, 0.78]","nan  CI=[nan, nan]","0.74 *** CI=[0.58, 0.85]","nan  CI=[nan, nan]","0.73 *** CI=[0.59, 0.82]","0.47 *** CI=[0.27, 0.60]","0.60 *** CI=[0.45, 0.72]","0.85 *** CI=[0.74, 0.91]","0.49 *** CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.73 *** CI=[0.60, 0.82]","0.81 *** CI=[0.71, 0.88]","1.00 *** CI=[1.00, 1.00]"
