,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R,FAIR,R1.3-M
A2-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A,"nan  CI=[nan, nan]","0.52 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.75 *** CI=[0.63, 0.85]","-0.12  CI=[nan, nan]","nan  CI=[nan, nan]","0.73 *** CI=[0.57, 0.85]","0.96 *** CI=[0.92, 0.98]","nan  CI=[nan, nan]","0.65 *** CI=[0.47, 0.77]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.61 *** CI=[0.41, 0.74]","0.36 ** CI=[nan, nan]","0.32 ** CI=[0.13, 0.48]","0.59 *** CI=[0.40, 0.74]","0.15  CI=[-0.08, 0.38]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.42 *** CI=[0.16, 0.63]","0.83 *** CI=[0.74, 0.90]","0.55 *** CI=[0.31, 0.72]"
I1-D,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
I1-M,"nan  CI=[nan, nan]","0.64 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.58 *** CI=[0.41, 0.71]","-0.05  CI=[nan, nan]","nan  CI=[nan, nan]","0.57 *** CI=[0.37, 0.71]","0.41 *** CI=[0.28, 0.57]","nan  CI=[nan, nan]","0.87 *** CI=[0.65, 1.00]","nan  CI=[nan, nan]","0.61 *** CI=[0.41, 0.74]","nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","0.55 *** CI=[nan, nan]","0.19  CI=[0.11, 0.27]","0.72 *** CI=[nan, nan]","0.21  CI=[0.12, 0.31]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.69 *** CI=[0.50, 0.81]","0.60 *** CI=[0.42, 0.73]","0.94 *** CI=[nan, nan]"
I2,"nan  CI=[nan, nan]","0.18  CI=[nan, nan]","nan  CI=[nan, nan]","0.34 ** CI=[nan, nan]","-0.03  CI=[nan, nan]","nan  CI=[nan, nan]","0.29 * CI=[nan, nan]","0.23  CI=[nan, nan]","nan  CI=[nan, nan]","0.55 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.36 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.55 *** CI=[nan, nan]","1.00 *** CI=[nan, nan]","0.10  CI=[nan, nan]","0.44 *** CI=[nan, nan]","0.12  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.38 ** CI=[nan, nan]","0.35 ** CI=[nan, nan]","0.52 *** CI=[nan, nan]"
I3-D,"nan  CI=[nan, nan]","0.15  CI=[0.08, 0.23]","nan  CI=[nan, nan]","0.60 *** CI=[0.43, 0.73]","-0.26 * CI=[nan, nan]","nan  CI=[nan, nan]","0.52 *** CI=[0.24, 0.70]","0.32 * CI=[0.09, 0.49]","nan  CI=[nan, nan]","0.19  CI=[0.10, 0.28]","nan  CI=[nan, nan]","0.32 ** CI=[0.13, 0.48]","nan  CI=[nan, nan]","0.19  CI=[0.11, 0.27]","0.10  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.81 *** CI=[0.65, 0.92]","-0.15  CI=[-0.31, 0.04]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","-0.05  CI=[-0.23, 0.14]","0.55 *** CI=[0.37, 0.69]","0.09  CI=[-0.11, 0.24]"
I,"nan  CI=[nan, nan]","0.47 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.77 *** CI=[0.64, 0.86]","-0.21  CI=[nan, nan]","nan  CI=[nan, nan]","0.70 *** CI=[0.47, 0.84]","0.46 *** CI=[0.29, 0.61]","nan  CI=[nan, nan]","0.65 *** CI=[0.44, 0.79]","nan  CI=[nan, nan]","0.59 *** CI=[0.40, 0.74]","nan  CI=[nan, nan]","0.72 *** CI=[nan, nan]","0.44 *** CI=[nan, nan]","0.81 *** CI=[0.65, 0.92]","1.00 *** CI=[1.00, 1.00]","0.02  CI=[-0.16, 0.19]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.37 ** CI=[0.04, 0.62]","0.74 *** CI=[0.58, 0.85]","0.62 *** CI=[0.29, 0.82]"
R1.1,"nan  CI=[nan, nan]","0.04  CI=[nan, nan]","nan  CI=[nan, nan]","0.30 * CI=[0.14, 0.49]","0.07  CI=[nan, nan]","nan  CI=[nan, nan]","0.27 * CI=[0.04, 0.46]","0.14  CI=[-0.08, 0.37]","nan  CI=[nan, nan]","0.10  CI=[-0.12, 0.25]","nan  CI=[nan, nan]","0.15  CI=[-0.08, 0.38]","nan  CI=[nan, nan]","0.21  CI=[0.12, 0.31]","0.12  CI=[nan, nan]","-0.15  CI=[-0.31, 0.04]","0.02  CI=[-0.16, 0.19]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.83 *** CI=[0.69, 0.93]","0.38 ** CI=[0.17, 0.57]","0.22  CI=[0.13, 0.31]"
R1.2,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
R1.3-D,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
R,"nan  CI=[nan, nan]","0.37 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.51 *** CI=[0.29, 0.68]","0.21  CI=[nan, nan]","nan  CI=[nan, nan]","0.54 *** CI=[0.30, 0.72]","0.30 * CI=[0.09, 0.50]","nan  CI=[nan, nan]","0.54 *** CI=[0.18, 0.76]","nan  CI=[nan, nan]","0.42 *** CI=[0.16, 0.63]","nan  CI=[nan, nan]","0.69 *** CI=[0.50, 0.81]","0.38 ** CI=[nan, nan]","-0.05  CI=[-0.23, 0.14]","0.37 ** CI=[0.04, 0.62]","0.83 *** CI=[0.69, 0.93]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.61 *** CI=[0.42, 0.77]","0.73 *** CI=[0.57, 0.85]"
FAIR,"nan  CI=[nan, nan]","0.48 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.95 *** CI=[0.92, 0.97]","0.05  CI=[nan, nan]","nan  CI=[nan, nan]","0.96 *** CI=[0.92, 0.98]","0.78 *** CI=[0.67, 0.85]","nan  CI=[nan, nan]","0.60 *** CI=[0.42, 0.73]","nan  CI=[nan, nan]","0.83 *** CI=[0.74, 0.90]","nan  CI=[nan, nan]","0.60 *** CI=[0.42, 0.73]","0.35 ** CI=[nan, nan]","0.55 *** CI=[0.37, 0.69]","0.74 *** CI=[0.58, 0.85]","0.38 ** CI=[0.17, 0.57]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.61 *** CI=[0.42, 0.77]","1.00 *** CI=[1.00, 1.00]","0.59 *** CI=[0.39, 0.72]"
R1.3-M,"nan  CI=[nan, nan]","0.60 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.53 *** CI=[0.31, 0.69]","0.29 * CI=[nan, nan]","nan  CI=[nan, nan]","0.61 *** CI=[0.42, 0.73]","0.35 ** CI=[0.14, 0.52]","nan  CI=[nan, nan]","0.82 *** CI=[0.57, 1.00]","nan  CI=[nan, nan]","0.55 *** CI=[0.31, 0.72]","nan  CI=[nan, nan]","0.94 *** CI=[nan, nan]","0.52 *** CI=[nan, nan]","0.09  CI=[-0.11, 0.24]","0.62 *** CI=[0.29, 0.82]","0.22  CI=[0.13, 0.31]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.73 *** CI=[0.57, 0.85]","0.59 *** CI=[0.39, 0.72]","1.00 *** CI=[1.00, 1.00]"
