,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R1.3-M,R,FAIR
A2-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A,"nan  CI=[nan, nan]","0.25 ** CI=[nan, nan]","nan  CI=[nan, nan]","-0.23 ** CI=[-0.39, -0.06]","-0.06  CI=[nan, nan]","nan  CI=[nan, nan]","-0.16  CI=[-0.34, 0.05]","0.99 *** CI=[0.97, 0.99]","nan  CI=[nan, nan]","0.82 *** CI=[0.73, 0.90]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.59 *** CI=[0.42, 0.74]","nan  CI=[nan, nan]","-0.13  CI=[nan, nan]","0.55 *** CI=[0.34, 0.71]","0.06  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.59 *** CI=[0.42, 0.73]","0.59 *** CI=[0.43, 0.73]","0.76 *** CI=[0.66, 0.83]"
I1-D,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
I1-M,"nan  CI=[nan, nan]","0.03  CI=[nan, nan]","nan  CI=[nan, nan]","-0.32 *** CI=[-0.46, -0.18]","-0.05  CI=[nan, nan]","nan  CI=[nan, nan]","-0.30 *** CI=[-0.45, -0.13]","0.51 *** CI=[0.34, 0.65]","nan  CI=[nan, nan]","0.77 *** CI=[0.64, 0.89]","nan  CI=[nan, nan]","0.59 *** CI=[0.42, 0.74]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.07  CI=[nan, nan]","0.98 *** CI=[0.94, 1.00]","0.05  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.99 *** CI=[0.96, 1.00]","0.75 *** CI=[0.66, 0.81]"
I2,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
I3-D,"nan  CI=[nan, nan]","0.02  CI=[nan, nan]","nan  CI=[nan, nan]","0.01  CI=[nan, nan]","0.01  CI=[nan, nan]","nan  CI=[nan, nan]","0.01  CI=[nan, nan]","-0.18 * CI=[nan, nan]","nan  CI=[nan, nan]","0.06  CI=[nan, nan]","nan  CI=[nan, nan]","-0.13  CI=[nan, nan]","nan  CI=[nan, nan]","0.07  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","0.27 ** CI=[nan, nan]","-0.01  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.07  CI=[nan, nan]","0.07  CI=[nan, nan]","0.10  CI=[nan, nan]"
I,"nan  CI=[nan, nan]","0.03  CI=[nan, nan]","nan  CI=[nan, nan]","-0.31 *** CI=[-0.44, -0.16]","-0.04  CI=[nan, nan]","nan  CI=[nan, nan]","-0.29 *** CI=[-0.44, -0.14]","0.45 *** CI=[0.24, 0.65]","nan  CI=[nan, nan]","0.76 *** CI=[0.63, 0.87]","nan  CI=[nan, nan]","0.55 *** CI=[0.34, 0.71]","nan  CI=[nan, nan]","0.98 *** CI=[0.94, 1.00]","nan  CI=[nan, nan]","0.27 ** CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.04  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.98 *** CI=[0.94, 1.00]","0.97 *** CI=[0.92, 1.00]","0.74 *** CI=[0.65, 0.81]"
R1.1,"nan  CI=[nan, nan]","0.01  CI=[nan, nan]","nan  CI=[nan, nan]","0.16  CI=[nan, nan]","0.01  CI=[nan, nan]","nan  CI=[nan, nan]","0.16  CI=[nan, nan]","0.06  CI=[nan, nan]","nan  CI=[nan, nan]","0.04  CI=[nan, nan]","nan  CI=[nan, nan]","0.06  CI=[nan, nan]","nan  CI=[nan, nan]","0.05  CI=[nan, nan]","nan  CI=[nan, nan]","-0.01  CI=[nan, nan]","0.04  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.05  CI=[nan, nan]","0.20 * CI=[nan, nan]","0.15  CI=[nan, nan]"
R1.2,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
R1.3-D,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
R1.3-M,"nan  CI=[nan, nan]","0.03  CI=[nan, nan]","nan  CI=[nan, nan]","-0.32 *** CI=[-0.46, -0.15]","-0.05  CI=[nan, nan]","nan  CI=[nan, nan]","-0.30 *** CI=[-0.45, -0.16]","0.51 *** CI=[0.35, 0.66]","nan  CI=[nan, nan]","0.77 *** CI=[0.63, 0.89]","nan  CI=[nan, nan]","0.59 *** CI=[0.42, 0.73]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.07  CI=[nan, nan]","0.98 *** CI=[0.94, 1.00]","0.05  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.99 *** CI=[0.96, 1.00]","0.75 *** CI=[0.66, 0.81]"
R,"nan  CI=[nan, nan]","0.03  CI=[nan, nan]","nan  CI=[nan, nan]","-0.29 *** CI=[-0.45, -0.12]","-0.05  CI=[nan, nan]","nan  CI=[nan, nan]","-0.27 ** CI=[-0.43, -0.10]","0.50 *** CI=[0.33, 0.64]","nan  CI=[nan, nan]","0.76 *** CI=[0.63, 0.88]","nan  CI=[nan, nan]","0.59 *** CI=[0.43, 0.73]","nan  CI=[nan, nan]","0.99 *** CI=[0.96, 1.00]","nan  CI=[nan, nan]","0.07  CI=[nan, nan]","0.97 *** CI=[0.92, 1.00]","0.20 * CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.99 *** CI=[0.96, 1.00]","1.00 *** CI=[1.00, 1.00]","0.76 *** CI=[0.68, 0.82]"
FAIR,"nan  CI=[nan, nan]","0.20 * CI=[nan, nan]","nan  CI=[nan, nan]","0.20 * CI=[-0.02, 0.40]","0.04  CI=[nan, nan]","nan  CI=[nan, nan]","0.25 ** CI=[0.05, 0.44]","0.72 *** CI=[0.63, 0.80]","nan  CI=[nan, nan]","0.69 *** CI=[0.60, 0.77]","nan  CI=[nan, nan]","0.76 *** CI=[0.66, 0.83]","nan  CI=[nan, nan]","0.75 *** CI=[0.66, 0.81]","nan  CI=[nan, nan]","0.10  CI=[nan, nan]","0.74 *** CI=[0.65, 0.81]","0.15  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.75 *** CI=[0.66, 0.81]","0.76 *** CI=[0.68, 0.82]","1.00 *** CI=[1.00, 1.00]"
