,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R1.3-M,R,FAIR
A2-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A,"nan  CI=[nan, nan]","0.45 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.27 * CI=[0.05, 0.47]","0.39 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.34 ** CI=[0.09, 0.55]","1.00 *** CI=[0.99, 1.00]","nan  CI=[nan, nan]","0.73 *** CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.40 *** CI=[nan, nan]","nan  CI=[nan, nan]","-0.07  CI=[-0.33, 0.15]","0.12  CI=[-0.24, 0.43]","0.16  CI=[0.09, 0.23]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.40 *** CI=[nan, nan]","0.34 ** CI=[0.10, 0.55]","0.54 *** CI=[0.33, 0.68]"
I1-D,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
I1-M,"nan  CI=[nan, nan]","0.28 * CI=[nan, nan]","nan  CI=[nan, nan]","0.15  CI=[nan, nan]","-0.05  CI=[nan, nan]","nan  CI=[nan, nan]","0.14  CI=[nan, nan]","0.36 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.57 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.40 *** CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.14  CI=[nan, nan]","0.56 *** CI=[nan, nan]","0.11  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","0.62 *** CI=[nan, nan]","0.46 *** CI=[nan, nan]"
I2,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
I3-D,"nan  CI=[nan, nan]","0.09  CI=[nan, nan]","nan  CI=[nan, nan]","0.32 ** CI=[0.09, 0.53]","-0.12  CI=[nan, nan]","nan  CI=[nan, nan]","0.32 ** CI=[0.07, 0.53]","-0.09  CI=[-0.34, 0.15]","nan  CI=[nan, nan]","0.14  CI=[nan, nan]","nan  CI=[nan, nan]","-0.07  CI=[-0.33, 0.15]","nan  CI=[nan, nan]","0.14  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.90 *** CI=[0.77, 0.98]","-0.01  CI=[-0.21, 0.23]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.14  CI=[nan, nan]","0.07  CI=[-0.12, 0.27]","0.44 *** CI=[0.24, 0.63]"
I,"nan  CI=[nan, nan]","0.20  CI=[nan, nan]","nan  CI=[nan, nan]","0.33 ** CI=[0.11, 0.56]","-0.12  CI=[nan, nan]","nan  CI=[nan, nan]","0.33 ** CI=[0.08, 0.54]","0.09  CI=[-0.27, 0.41]","nan  CI=[nan, nan]","0.37 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.12  CI=[-0.24, 0.43]","nan  CI=[nan, nan]","0.56 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.90 *** CI=[0.77, 0.98]","1.00 *** CI=[1.00, 1.00]","0.04  CI=[-0.16, 0.26]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.56 *** CI=[nan, nan]","0.33 ** CI=[0.01, 0.59]","0.58 *** CI=[0.36, 0.76]"
R1.1,"nan  CI=[nan, nan]","0.07  CI=[nan, nan]","nan  CI=[nan, nan]","0.67 *** CI=[0.48, 0.80]","0.07  CI=[nan, nan]","nan  CI=[nan, nan]","0.66 *** CI=[0.49, 0.78]","0.16  CI=[0.09, 0.23]","nan  CI=[nan, nan]","0.11  CI=[nan, nan]","nan  CI=[nan, nan]","0.16  CI=[0.09, 0.23]","nan  CI=[nan, nan]","0.11  CI=[nan, nan]","nan  CI=[nan, nan]","-0.01  CI=[-0.21, 0.23]","0.04  CI=[-0.16, 0.26]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.11  CI=[nan, nan]","0.85 *** CI=[0.69, 0.96]","0.63 *** CI=[0.47, 0.75]"
R1.2,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
R1.3-D,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
R1.3-M,"nan  CI=[nan, nan]","0.28 * CI=[nan, nan]","nan  CI=[nan, nan]","0.15  CI=[nan, nan]","-0.05  CI=[nan, nan]","nan  CI=[nan, nan]","0.14  CI=[nan, nan]","0.36 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.57 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.40 *** CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.14  CI=[nan, nan]","0.56 *** CI=[nan, nan]","0.11  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","0.62 *** CI=[nan, nan]","0.46 *** CI=[nan, nan]"
R,"nan  CI=[nan, nan]","0.20  CI=[nan, nan]","nan  CI=[nan, nan]","0.60 *** CI=[0.35, 0.78]","0.03  CI=[nan, nan]","nan  CI=[nan, nan]","0.60 *** CI=[0.34, 0.77]","0.32 ** CI=[0.12, 0.52]","nan  CI=[nan, nan]","0.39 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.34 ** CI=[0.10, 0.55]","nan  CI=[nan, nan]","0.62 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.07  CI=[-0.12, 0.27]","0.33 ** CI=[0.01, 0.59]","0.85 *** CI=[0.69, 0.96]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.62 *** CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.75 *** CI=[0.61, 0.85]"
FAIR,"nan  CI=[nan, nan]","0.30 * CI=[nan, nan]","nan  CI=[nan, nan]","0.85 *** CI=[0.69, 0.95]","0.24 * CI=[nan, nan]","nan  CI=[nan, nan]","0.87 *** CI=[0.72, 0.96]","0.53 *** CI=[0.32, 0.68]","nan  CI=[nan, nan]","0.47 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.54 *** CI=[0.33, 0.68]","nan  CI=[nan, nan]","0.46 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.44 *** CI=[0.24, 0.63]","0.58 *** CI=[0.36, 0.76]","0.63 *** CI=[0.47, 0.75]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.46 *** CI=[nan, nan]","0.75 *** CI=[0.61, 0.85]","1.00 *** CI=[1.00, 1.00]"
