KG id,KG name,KG SPARQL endpoint,RDF dump link,Ontology,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,R1.1 Machine- or human-readable license retrievable via any primary source,"R1.2 Publisher information, such as authors, contributors, publishers, and sources",R1.3-D Data organized in a standardized way,R score,FAIR score,R1.3-M Metadata are described with VoID/DCAT predicates
bio2rdf-gendr,Bio2RDF::Gendr,http://gendr.bio2rdf.org/sparql,"['http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz', 'http://ctdbase.org/reports/CTD_genes_diseases.tsv.gz', 'http://www.disgenet.org/ds/DisGeNET/results/all_gene_disease_associations.tar.gz', 'http://www.disgenet.org/ds/DisGeNET/results/befree_gene_disease_associations.tar.gz', 'http://www.uniprot.org/docs/humsavar.txt', 'http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz']",False,1,0.0,1,0.78,0,1,0.63,1.0,1,1.0,1,1.0,1,1,0.32,1,0.83,1,1,1,1.0,3.46,1
bio2rdf-goa,Bio2RDF::Goa,http://goa.bio2rdf.org/sparql,"['http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz', 'http://ctdbase.org/reports/CTD_genes_diseases.tsv.gz', 'http://www.disgenet.org/ds/DisGeNET/results/all_gene_disease_associations.tar.gz', 'http://www.disgenet.org/ds/DisGeNET/results/befree_gene_disease_associations.tar.gz', 'http://www.uniprot.org/docs/humsavar.txt', 'http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz']",False,1,0.0,1,0.78,0,1,0.63,1.0,1,1.0,1,1.0,1,1,0.32,1,0.83,1,1,1,1.0,3.46,1
bio2rdf-hgnc,Bio2RDF::Hgnc,http://hgnc.bio2rdf.org/sparql,"['http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz', 'http://ctdbase.org/reports/CTD_genes_diseases.tsv.gz', 'http://www.disgenet.org/ds/DisGeNET/results/all_gene_disease_associations.tar.gz', 'http://www.disgenet.org/ds/DisGeNET/results/befree_gene_disease_associations.tar.gz', 'http://www.uniprot.org/docs/humsavar.txt', 'http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz']",False,1,0.0,1,0.78,0,1,0.63,1.0,1,1.0,1,1.0,1,1,0.32,1,0.83,1,1,1,1.0,3.46,1
bio2rdf-homologene,Bio2RDF::Homologene,http://homologene.bio2rdf.org/sparql,"['http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz', 'http://ctdbase.org/reports/CTD_genes_diseases.tsv.gz', 'http://www.disgenet.org/ds/DisGeNET/results/all_gene_disease_associations.tar.gz', 'http://www.disgenet.org/ds/DisGeNET/results/befree_gene_disease_associations.tar.gz', 'http://www.uniprot.org/docs/humsavar.txt', 'http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz']",False,1,0.0,1,0.78,0,1,0.63,1.0,1,1.0,1,1.0,1,1,0.32,1,0.83,1,1,1,1.0,3.46,1
bio2rdf-interpro,Bio2RDF::Interpro,http://interpro.bio2rdf.org/sparql,"['http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz', 'http://ctdbase.org/reports/CTD_genes_diseases.tsv.gz', 'http://www.disgenet.org/ds/DisGeNET/results/all_gene_disease_associations.tar.gz', 'http://www.disgenet.org/ds/DisGeNET/results/befree_gene_disease_associations.tar.gz', 'http://www.uniprot.org/docs/humsavar.txt', 'http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz']",False,1,0.0,1,0.78,0,1,0.63,1.0,1,1.0,1,1.0,1,1,0.32,1,0.83,1,1,1,1.0,3.46,1
bio2rdf-iproclass,Bio2RDF::Iproclass,http://iproclass.bio2rdf.org/sparql,[],False,1,0.0,1,0.67,0,1,0.61,1.0,1,0.0,1,0.75,1,0,0.0,1,0.5,1,1,1,0.75,2.61,0
bio2rdf-irefindex,Bio2RDF::Irefindex,http://irefindex.bio2rdf.org/sparql,"['http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz', 'http://ctdbase.org/reports/CTD_genes_diseases.tsv.gz', 'http://www.disgenet.org/ds/DisGeNET/results/all_gene_disease_associations.tar.gz', 'http://www.disgenet.org/ds/DisGeNET/results/befree_gene_disease_associations.tar.gz', 'http://www.uniprot.org/docs/humsavar.txt', 'http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz']",False,1,0.0,1,0.78,0,1,0.63,1.0,1,1.0,1,1.0,1,1,0.32,1,0.83,1,1,1,1.0,3.46,1
bio2rdf-lsr,Bio2RDF::Lsr,http://lsr.bio2rdf.org/sparql,"['http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz', 'http://ctdbase.org/reports/CTD_genes_diseases.tsv.gz', 'http://www.disgenet.org/ds/DisGeNET/results/all_gene_disease_associations.tar.gz', 'http://www.disgenet.org/ds/DisGeNET/results/befree_gene_disease_associations.tar.gz', 'http://www.uniprot.org/docs/humsavar.txt', 'http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz']",False,1,0.0,1,0.78,0,1,0.63,1.0,1,1.0,1,1.0,1,1,0.32,1,0.83,1,1,1,1.0,3.46,1
bio2rdf-mesh,Bio2RDF::Mesh,http://mesh.bio2rdf.org/sparql,"['http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz', 'http://ctdbase.org/reports/CTD_genes_diseases.tsv.gz', 'http://www.disgenet.org/ds/DisGeNET/results/all_gene_disease_associations.tar.gz', 'http://www.disgenet.org/ds/DisGeNET/results/befree_gene_disease_associations.tar.gz', 'http://www.uniprot.org/docs/humsavar.txt', 'http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz']",False,1,0.0,1,0.78,0,1,0.63,1.0,1,1.0,1,1.0,1,1,0.32,1,0.83,1,1,1,1.0,3.46,1
bio2rdf-mgi,Bio2RDF::Mgi,http://mgi.bio2rdf.org/sparql,"['http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz', 'http://ctdbase.org/reports/CTD_genes_diseases.tsv.gz', 'http://www.disgenet.org/ds/DisGeNET/results/all_gene_disease_associations.tar.gz', 'http://www.disgenet.org/ds/DisGeNET/results/befree_gene_disease_associations.tar.gz', 'http://www.uniprot.org/docs/humsavar.txt', 'http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz']",False,1,0.0,1,0.78,0,1,0.63,1.0,1,1.0,1,1.0,1,1,0.32,1,0.83,1,1,1,1.0,3.46,1
bio2rdf-ncbigene,Bio2RDF::Ncbigene,http://ncbigene.bio2rdf.org/sparql,"['http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz', 'http://ctdbase.org/reports/CTD_genes_diseases.tsv.gz', 'http://www.disgenet.org/ds/DisGeNET/results/all_gene_disease_associations.tar.gz', 'http://www.disgenet.org/ds/DisGeNET/results/befree_gene_disease_associations.tar.gz', 'http://www.uniprot.org/docs/humsavar.txt', 'http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz']",False,1,0.0,1,0.78,0,1,0.63,1.0,1,1.0,1,1.0,1,1,0.32,1,0.83,1,1,1,1.0,3.46,1
bio2rdf-ndc,Bio2RDF::Ndc,http://ndc.bio2rdf.org/sparql,"['http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz', 'http://ctdbase.org/reports/CTD_genes_diseases.tsv.gz', 'http://www.disgenet.org/ds/DisGeNET/results/all_gene_disease_associations.tar.gz', 'http://www.disgenet.org/ds/DisGeNET/results/befree_gene_disease_associations.tar.gz', 'http://www.uniprot.org/docs/humsavar.txt', 'http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz']",False,1,0.0,1,0.78,0,1,0.63,1.0,1,1.0,1,1.0,1,1,0.32,1,0.83,1,1,1,1.0,3.46,1
bio2rdf-omim,Bio2RDF::Omim,http://omim.bio2rdf.org/sparql,"['http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz', 'http://ctdbase.org/reports/CTD_genes_diseases.tsv.gz', 'http://www.disgenet.org/ds/DisGeNET/results/all_gene_disease_associations.tar.gz', 'http://www.disgenet.org/ds/DisGeNET/results/befree_gene_disease_associations.tar.gz', 'http://www.uniprot.org/docs/humsavar.txt', 'http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz']",False,1,0.0,1,0.78,0,1,0.63,1.0,1,1.0,1,1.0,1,1,0.32,1,0.83,1,1,1,1.0,3.46,1
bio2rdf-orphanet,Bio2RDF::Orphanet,http://orphanet.bio2rdf.org/sparql,"['http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz', 'http://ctdbase.org/reports/CTD_genes_diseases.tsv.gz', 'http://www.disgenet.org/ds/DisGeNET/results/all_gene_disease_associations.tar.gz', 'http://www.disgenet.org/ds/DisGeNET/results/befree_gene_disease_associations.tar.gz', 'http://www.uniprot.org/docs/humsavar.txt', 'http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz']",False,1,0.0,1,0.78,0,1,0.63,1.0,1,1.0,1,1.0,1,1,0.32,1,0.83,1,1,1,1.0,3.46,1
