,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R,FAIR,R1.3-M
A2-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A,"nan  CI=[nan, nan]","0.36 *** CI=[0.22, 0.46]","nan  CI=[nan, nan]","0.38 *** CI=[0.26, 0.50]","-0.06  CI=[nan, nan]","nan  CI=[nan, nan]","0.40 *** CI=[0.27, 0.53]","0.97 *** CI=[0.95, 0.98]","nan  CI=[nan, nan]","0.58 *** CI=[0.47, 0.67]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.52 *** CI=[0.41, 0.61]","0.23 *** CI=[nan, nan]","-0.06  CI=[nan, nan]","0.44 *** CI=[0.28, 0.57]","0.11  CI=[-0.03, 0.24]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.25 *** CI=[0.11, 0.40]","0.62 *** CI=[0.51, 0.71]","0.52 *** CI=[0.41, 0.61]"
I1-D,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
I1-M,"nan  CI=[nan, nan]","0.45 *** CI=[0.18, 0.67]","nan  CI=[nan, nan]","0.37 *** CI=[0.25, 0.48]","-0.02  CI=[nan, nan]","nan  CI=[nan, nan]","0.39 *** CI=[0.27, 0.49]","0.36 *** CI=[0.28, 0.45]","nan  CI=[nan, nan]","0.80 *** CI=[0.63, 0.93]","nan  CI=[nan, nan]","0.52 *** CI=[0.41, 0.61]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.54 *** CI=[nan, nan]","0.05  CI=[nan, nan]","0.92 *** CI=[0.83, 0.98]","0.30 *** CI=[0.23, 0.37]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.56 *** CI=[0.46, 0.65]","0.51 *** CI=[0.40, 0.60]","1.00 *** CI=[1.00, 1.00]"
I2,"nan  CI=[nan, nan]","0.26 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.29 *** CI=[nan, nan]","-0.01  CI=[nan, nan]","nan  CI=[nan, nan]","0.28 *** CI=[nan, nan]","0.20 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.23 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.23 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.54 *** CI=[nan, nan]","1.00 *** CI=[nan, nan]","0.02  CI=[nan, nan]","0.53 *** CI=[nan, nan]","0.16 * CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.31 *** CI=[nan, nan]","0.28 *** CI=[nan, nan]","0.54 *** CI=[nan, nan]"
I3-D,"nan  CI=[nan, nan]","0.03  CI=[nan, nan]","nan  CI=[nan, nan]","0.10  CI=[nan, nan]","0.01  CI=[nan, nan]","nan  CI=[nan, nan]","0.10  CI=[nan, nan]","-0.09  CI=[nan, nan]","nan  CI=[nan, nan]","0.05  CI=[nan, nan]","nan  CI=[nan, nan]","-0.06  CI=[nan, nan]","nan  CI=[nan, nan]","0.05  CI=[nan, nan]","0.02  CI=[nan, nan]","1.00 *** CI=[nan, nan]","0.44 *** CI=[nan, nan]","-0.13  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","-0.10  CI=[nan, nan]","0.08  CI=[nan, nan]","0.05  CI=[nan, nan]"
I,"nan  CI=[nan, nan]","0.42 *** CI=[0.19, 0.61]","nan  CI=[nan, nan]","0.38 *** CI=[0.26, 0.48]","-0.02  CI=[nan, nan]","nan  CI=[nan, nan]","0.39 *** CI=[0.28, 0.49]","0.29 *** CI=[0.16, 0.41]","nan  CI=[nan, nan]","0.73 *** CI=[0.56, 0.87]","nan  CI=[nan, nan]","0.44 *** CI=[0.28, 0.57]","nan  CI=[nan, nan]","0.92 *** CI=[0.83, 0.98]","0.53 *** CI=[nan, nan]","0.44 *** CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.22 ** CI=[0.09, 0.33]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.47 *** CI=[0.29, 0.61]","0.49 *** CI=[0.37, 0.59]","0.92 *** CI=[0.83, 0.98]"
R1.1,"nan  CI=[nan, nan]","0.08  CI=[-0.06, 0.19]","nan  CI=[nan, nan]","0.71 *** CI=[0.64, 0.78]","0.07  CI=[nan, nan]","nan  CI=[nan, nan]","0.69 *** CI=[0.60, 0.77]","0.05  CI=[-0.10, 0.18]","nan  CI=[nan, nan]","0.24 *** CI=[0.13, 0.33]","nan  CI=[nan, nan]","0.11  CI=[-0.03, 0.24]","nan  CI=[nan, nan]","0.30 *** CI=[0.23, 0.37]","0.16 * CI=[nan, nan]","-0.13  CI=[nan, nan]","0.22 ** CI=[0.09, 0.33]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.96 *** CI=[0.93, 0.98]","0.75 *** CI=[0.68, 0.81]","0.30 *** CI=[0.23, 0.38]"
R1.2,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
R1.3-D,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
R,"nan  CI=[nan, nan]","0.21 ** CI=[0.02, 0.35]","nan  CI=[nan, nan]","0.73 *** CI=[0.65, 0.80]","0.05  CI=[nan, nan]","nan  CI=[nan, nan]","0.72 *** CI=[0.63, 0.79]","0.15 * CI=[0.00, 0.30]","nan  CI=[nan, nan]","0.45 *** CI=[0.29, 0.57]","nan  CI=[nan, nan]","0.25 *** CI=[0.11, 0.40]","nan  CI=[nan, nan]","0.56 *** CI=[0.46, 0.65]","0.31 *** CI=[nan, nan]","-0.10  CI=[nan, nan]","0.47 *** CI=[0.29, 0.61]","0.96 *** CI=[0.93, 0.98]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.81 *** CI=[0.74, 0.86]","0.56 *** CI=[0.45, 0.66]"
FAIR,"nan  CI=[nan, nan]","0.32 *** CI=[0.20, 0.41]","nan  CI=[nan, nan]","0.91 *** CI=[0.87, 0.94]","0.06  CI=[nan, nan]","nan  CI=[nan, nan]","0.92 *** CI=[0.88, 0.95]","0.56 *** CI=[0.44, 0.65]","nan  CI=[nan, nan]","0.52 *** CI=[0.41, 0.60]","nan  CI=[nan, nan]","0.62 *** CI=[0.51, 0.71]","nan  CI=[nan, nan]","0.51 *** CI=[0.40, 0.60]","0.28 *** CI=[nan, nan]","0.08  CI=[nan, nan]","0.49 *** CI=[0.37, 0.59]","0.75 *** CI=[0.68, 0.81]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.81 *** CI=[0.74, 0.86]","1.00 *** CI=[1.00, 1.00]","0.51 *** CI=[0.40, 0.61]"
R1.3-M,"nan  CI=[nan, nan]","0.45 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.37 *** CI=[0.24, 0.48]","-0.02  CI=[nan, nan]","nan  CI=[nan, nan]","0.39 *** CI=[0.26, 0.49]","0.36 *** CI=[0.28, 0.45]","nan  CI=[nan, nan]","0.80 *** CI=[0.63, 0.93]","nan  CI=[nan, nan]","0.52 *** CI=[0.41, 0.61]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.54 *** CI=[nan, nan]","0.05  CI=[nan, nan]","0.92 *** CI=[0.83, 0.98]","0.30 *** CI=[0.23, 0.38]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.56 *** CI=[0.45, 0.66]","0.51 *** CI=[0.40, 0.61]","1.00 *** CI=[1.00, 1.00]"
