,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R1.3-M,R,FAIR
A2-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A,"nan  CI=[nan, nan]","0.46 *** CI=[0.40, 0.51]","nan  CI=[nan, nan]","0.39 *** CI=[0.35, 0.44]","0.15 *** CI=[0.08, 0.21]","nan  CI=[nan, nan]","0.47 *** CI=[0.43, 0.52]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.68 *** CI=[0.64, 0.72]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.58 *** CI=[0.52, 0.64]","0.36 *** CI=[0.29, 0.42]","-0.04  CI=[-0.09, 0.01]","0.39 *** CI=[0.32, 0.46]","0.18 *** CI=[0.15, 0.21]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.58 *** CI=[0.52, 0.63]","0.47 *** CI=[0.41, 0.51]","0.61 *** CI=[0.57, 0.65]"
I1-D,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
I1-M,"nan  CI=[nan, nan]","0.44 *** CI=[0.36, 0.52]","nan  CI=[nan, nan]","0.29 *** CI=[0.25, 0.34]","0.09 *** CI=[0.01, 0.17]","nan  CI=[nan, nan]","0.35 *** CI=[0.31, 0.40]","0.55 *** CI=[0.49, 0.61]","nan  CI=[nan, nan]","0.68 *** CI=[0.61, 0.74]","nan  CI=[nan, nan]","0.58 *** CI=[0.52, 0.64]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.58 *** CI=[0.51, 0.64]","0.08 ** CI=[0.05, 0.11]","0.77 *** CI=[0.73, 0.81]","0.15 *** CI=[0.14, 0.17]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.69 *** CI=[0.65, 0.72]","0.55 *** CI=[0.51, 0.59]"
I2,"nan  CI=[nan, nan]","0.31 *** CI=[0.19, 0.42]","nan  CI=[nan, nan]","0.28 *** CI=[0.24, 0.32]","0.10 *** CI=[-0.02, 0.22]","nan  CI=[nan, nan]","0.29 *** CI=[0.25, 0.32]","0.33 *** CI=[0.27, 0.39]","nan  CI=[nan, nan]","0.52 *** CI=[0.43, 0.60]","nan  CI=[nan, nan]","0.36 *** CI=[0.29, 0.42]","nan  CI=[nan, nan]","0.58 *** CI=[0.51, 0.64]","1.00 *** CI=[1.00, 1.00]","0.06 * CI=[0.05, 0.07]","0.49 *** CI=[0.43, 0.55]","0.09 *** CI=[0.08, 0.10]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.58 *** CI=[0.51, 0.64]","0.40 *** CI=[0.35, 0.45]","0.33 *** CI=[0.29, 0.37]"
I3-D,"nan  CI=[nan, nan]","0.05  CI=[0.02, 0.07]","nan  CI=[nan, nan]","0.24 *** CI=[0.19, 0.28]","0.00  CI=[-0.06, 0.03]","nan  CI=[nan, nan]","0.23 *** CI=[0.19, 0.28]","-0.05  CI=[-0.11, 0.01]","nan  CI=[nan, nan]","0.07 ** CI=[0.04, 0.10]","nan  CI=[nan, nan]","-0.04  CI=[-0.09, 0.01]","nan  CI=[nan, nan]","0.08 ** CI=[0.05, 0.11]","0.06 * CI=[0.05, 0.07]","1.00 *** CI=[1.00, 1.00]","0.70 *** CI=[0.65, 0.74]","-0.06 * CI=[-0.10, -0.03]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.08 ** CI=[0.05, 0.11]","-0.00  CI=[-0.03, 0.04]","0.29 *** CI=[0.25, 0.34]"
I,"nan  CI=[nan, nan]","0.35 *** CI=[0.28, 0.42]","nan  CI=[nan, nan]","0.37 *** CI=[0.32, 0.41]","0.07 ** CI=[-0.00, 0.15]","nan  CI=[nan, nan]","0.41 *** CI=[0.36, 0.45]","0.36 *** CI=[0.28, 0.43]","nan  CI=[nan, nan]","0.54 *** CI=[0.48, 0.59]","nan  CI=[nan, nan]","0.39 *** CI=[0.32, 0.46]","nan  CI=[nan, nan]","0.77 *** CI=[0.73, 0.81]","0.49 *** CI=[0.43, 0.55]","0.70 *** CI=[0.65, 0.74]","1.00 *** CI=[1.00, 1.00]","0.07 ** CI=[0.04, 0.10]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.77 *** CI=[0.73, 0.81]","0.49 *** CI=[0.43, 0.55]","0.58 *** CI=[0.54, 0.62]"
R1.1,"nan  CI=[nan, nan]","0.09 *** CI=[0.08, 0.10]","nan  CI=[nan, nan]","0.58 *** CI=[0.54, 0.61]","0.04  CI=[0.03, 0.05]","nan  CI=[nan, nan]","0.58 *** CI=[0.54, 0.61]","0.18 *** CI=[0.15, 0.21]","nan  CI=[nan, nan]","0.13 *** CI=[0.12, 0.15]","nan  CI=[nan, nan]","0.18 *** CI=[0.15, 0.21]","nan  CI=[nan, nan]","0.15 *** CI=[0.14, 0.17]","0.09 *** CI=[0.08, 0.10]","-0.06 * CI=[-0.10, -0.03]","0.07 ** CI=[0.04, 0.10]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.15 *** CI=[0.14, 0.17]","0.82 *** CI=[0.80, 0.85]","0.64 *** CI=[0.61, 0.67]"
R1.2,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
R1.3-D,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
R1.3-M,"nan  CI=[nan, nan]","0.44 *** CI=[0.36, 0.52]","nan  CI=[nan, nan]","0.29 *** CI=[0.25, 0.34]","0.09 *** CI=[0.01, 0.17]","nan  CI=[nan, nan]","0.35 *** CI=[0.30, 0.40]","0.55 *** CI=[0.49, 0.60]","nan  CI=[nan, nan]","0.68 *** CI=[0.61, 0.74]","nan  CI=[nan, nan]","0.58 *** CI=[0.52, 0.63]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.58 *** CI=[0.51, 0.64]","0.08 ** CI=[0.05, 0.11]","0.77 *** CI=[0.73, 0.81]","0.15 *** CI=[0.14, 0.17]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.69 *** CI=[0.65, 0.72]","0.55 *** CI=[0.51, 0.58]"
R,"nan  CI=[nan, nan]","0.32 *** CI=[0.26, 0.37]","nan  CI=[nan, nan]","0.59 *** CI=[0.56, 0.63]","0.08 ** CI=[0.03, 0.13]","nan  CI=[nan, nan]","0.63 *** CI=[0.59, 0.66]","0.45 *** CI=[0.40, 0.49]","nan  CI=[nan, nan]","0.48 *** CI=[0.44, 0.54]","nan  CI=[nan, nan]","0.47 *** CI=[0.41, 0.51]","nan  CI=[nan, nan]","0.69 *** CI=[0.65, 0.72]","0.40 *** CI=[0.35, 0.45]","-0.00  CI=[-0.03, 0.04]","0.49 *** CI=[0.43, 0.55]","0.82 *** CI=[0.80, 0.85]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.69 *** CI=[0.65, 0.72]","1.00 *** CI=[1.00, 1.00]","0.79 *** CI=[0.76, 0.81]"
FAIR,"nan  CI=[nan, nan]","0.33 *** CI=[0.29, 0.37]","nan  CI=[nan, nan]","0.87 *** CI=[0.84, 0.89]","0.14 *** CI=[0.09, 0.17]","nan  CI=[nan, nan]","0.90 *** CI=[0.88, 0.92]","0.61 *** CI=[0.57, 0.64]","nan  CI=[nan, nan]","0.48 *** CI=[0.44, 0.51]","nan  CI=[nan, nan]","0.61 *** CI=[0.57, 0.65]","nan  CI=[nan, nan]","0.55 *** CI=[0.51, 0.59]","0.33 *** CI=[0.29, 0.37]","0.29 *** CI=[0.25, 0.34]","0.58 *** CI=[0.54, 0.62]","0.64 *** CI=[0.61, 0.67]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.55 *** CI=[0.51, 0.58]","0.79 *** CI=[0.76, 0.81]","1.00 *** CI=[1.00, 1.00]"
