,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R,FAIR,R1.3-M
A2-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A,"nan  CI=[nan, nan]","0.35 *** CI=[0.30, 0.39]","nan  CI=[nan, nan]","0.68 *** CI=[0.65, 0.70]","0.10 *** CI=[0.05, 0.15]","nan  CI=[nan, nan]","0.69 *** CI=[0.66, 0.72]","0.98 *** CI=[0.97, 0.98]","nan  CI=[nan, nan]","0.59 *** CI=[0.55, 0.62]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.56 *** CI=[0.52, 0.60]","0.34 *** CI=[0.30, 0.38]","0.05  CI=[0.01, 0.10]","0.42 *** CI=[0.37, 0.48]","0.41 *** CI=[0.36, 0.45]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.52 *** CI=[0.47, 0.56]","0.78 *** CI=[0.76, 0.80]","0.56 *** CI=[0.52, 0.59]"
I1-D,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
I1-M,"nan  CI=[nan, nan]","0.44 *** CI=[0.35, 0.52]","nan  CI=[nan, nan]","0.47 *** CI=[0.43, 0.51]","0.10 *** CI=[0.01, 0.19]","nan  CI=[nan, nan]","0.49 *** CI=[0.45, 0.53]","0.42 *** CI=[0.38, 0.45]","nan  CI=[nan, nan]","0.84 *** CI=[0.78, 0.88]","nan  CI=[nan, nan]","0.56 *** CI=[0.52, 0.60]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.62 *** CI=[0.55, 0.68]","0.10 *** CI=[0.09, 0.11]","0.77 *** CI=[0.73, 0.80]","0.32 *** CI=[0.29, 0.35]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.58 *** CI=[0.54, 0.61]","0.53 *** CI=[0.49, 0.56]","1.00 *** CI=[1.00, 1.00]"
I2,"nan  CI=[nan, nan]","0.19 *** CI=[0.09, 0.30]","nan  CI=[nan, nan]","0.34 *** CI=[0.30, 0.39]","0.10 *** CI=[-0.02, 0.21]","nan  CI=[nan, nan]","0.33 *** CI=[0.29, 0.37]","0.26 *** CI=[0.22, 0.29]","nan  CI=[nan, nan]","0.49 *** CI=[0.41, 0.57]","nan  CI=[nan, nan]","0.34 *** CI=[0.30, 0.38]","nan  CI=[nan, nan]","0.62 *** CI=[0.55, 0.68]","1.00 *** CI=[1.00, 1.00]","0.06 * CI=[0.05, 0.07]","0.51 *** CI=[0.45, 0.56]","0.20 *** CI=[0.17, 0.22]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.36 *** CI=[0.32, 0.40]","0.34 *** CI=[0.30, 0.37]","0.62 *** CI=[0.55, 0.68]"
I3-D,"nan  CI=[nan, nan]","0.06 * CI=[0.05, 0.07]","nan  CI=[nan, nan]","0.16 *** CI=[0.12, 0.20]","0.00  CI=[-0.06, 0.03]","nan  CI=[nan, nan]","0.16 *** CI=[0.12, 0.20]","0.03  CI=[-0.02, 0.08]","nan  CI=[nan, nan]","0.10 *** CI=[0.09, 0.11]","nan  CI=[nan, nan]","0.05  CI=[0.01, 0.10]","nan  CI=[nan, nan]","0.10 *** CI=[0.09, 0.11]","0.06 * CI=[0.05, 0.07]","1.00 *** CI=[1.00, 1.00]","0.72 *** CI=[0.67, 0.76]","-0.11 *** CI=[-0.16, -0.06]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","-0.07 ** CI=[-0.11, -0.03]","0.22 *** CI=[0.18, 0.26]","0.10 *** CI=[0.09, 0.11]"
I,"nan  CI=[nan, nan]","0.34 *** CI=[0.27, 0.40]","nan  CI=[nan, nan]","0.44 *** CI=[0.39, 0.48]","0.07 ** CI=[-0.00, 0.15]","nan  CI=[nan, nan]","0.45 *** CI=[0.40, 0.49]","0.31 *** CI=[0.26, 0.36]","nan  CI=[nan, nan]","0.65 *** CI=[0.60, 0.70]","nan  CI=[nan, nan]","0.42 *** CI=[0.37, 0.48]","nan  CI=[nan, nan]","0.77 *** CI=[0.73, 0.80]","0.51 *** CI=[0.45, 0.56]","0.72 *** CI=[0.67, 0.76]","1.00 *** CI=[1.00, 1.00]","0.15 *** CI=[0.10, 0.20]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.36 *** CI=[0.30, 0.42]","0.51 *** CI=[0.47, 0.55]","0.77 *** CI=[0.73, 0.80]"
R1.1,"nan  CI=[nan, nan]","0.14 *** CI=[0.10, 0.18]","nan  CI=[nan, nan]","0.73 *** CI=[0.71, 0.76]","0.09 *** CI=[0.06, 0.11]","nan  CI=[nan, nan]","0.73 *** CI=[0.70, 0.75]","0.39 *** CI=[0.34, 0.43]","nan  CI=[nan, nan]","0.28 *** CI=[0.24, 0.31]","nan  CI=[nan, nan]","0.41 *** CI=[0.36, 0.45]","nan  CI=[nan, nan]","0.32 *** CI=[0.29, 0.35]","0.20 *** CI=[0.17, 0.22]","-0.11 *** CI=[-0.16, -0.06]","0.15 *** CI=[0.10, 0.20]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.96 *** CI=[0.95, 0.97]","0.77 *** CI=[0.74, 0.79]","0.32 *** CI=[0.29, 0.35]"
R1.2,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
R1.3-D,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
R,"nan  CI=[nan, nan]","0.25 *** CI=[0.19, 0.30]","nan  CI=[nan, nan]","0.78 *** CI=[0.75, 0.80]","0.11 *** CI=[0.07, 0.15]","nan  CI=[nan, nan]","0.78 *** CI=[0.75, 0.80]","0.46 *** CI=[0.42, 0.50]","nan  CI=[nan, nan]","0.49 *** CI=[0.45, 0.53]","nan  CI=[nan, nan]","0.52 *** CI=[0.47, 0.56]","nan  CI=[nan, nan]","0.58 *** CI=[0.54, 0.61]","0.36 *** CI=[0.32, 0.40]","-0.07 ** CI=[-0.11, -0.03]","0.36 *** CI=[0.30, 0.42]","0.96 *** CI=[0.95, 0.97]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.82 *** CI=[0.80, 0.84]","0.58 *** CI=[0.54, 0.61]"
FAIR,"nan  CI=[nan, nan]","0.31 *** CI=[0.27, 0.34]","nan  CI=[nan, nan]","0.96 *** CI=[0.95, 0.97]","0.13 *** CI=[0.08, 0.16]","nan  CI=[nan, nan]","0.97 *** CI=[0.96, 0.97]","0.75 *** CI=[0.73, 0.77]","nan  CI=[nan, nan]","0.51 *** CI=[0.47, 0.55]","nan  CI=[nan, nan]","0.78 *** CI=[0.76, 0.80]","nan  CI=[nan, nan]","0.53 *** CI=[0.49, 0.56]","0.34 *** CI=[0.30, 0.37]","0.22 *** CI=[0.18, 0.26]","0.51 *** CI=[0.47, 0.55]","0.77 *** CI=[0.74, 0.79]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.82 *** CI=[0.80, 0.84]","1.00 *** CI=[1.00, 1.00]","0.53 *** CI=[0.49, 0.56]"
R1.3-M,"nan  CI=[nan, nan]","0.44 *** CI=[0.35, 0.52]","nan  CI=[nan, nan]","0.47 *** CI=[0.44, 0.51]","0.10 *** CI=[0.02, 0.18]","nan  CI=[nan, nan]","0.49 *** CI=[0.45, 0.52]","0.42 *** CI=[0.38, 0.45]","nan  CI=[nan, nan]","0.84 *** CI=[0.78, 0.88]","nan  CI=[nan, nan]","0.56 *** CI=[0.52, 0.59]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.62 *** CI=[0.55, 0.68]","0.10 *** CI=[0.09, 0.11]","0.77 *** CI=[0.73, 0.80]","0.32 *** CI=[0.29, 0.35]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.58 *** CI=[0.54, 0.61]","0.53 *** CI=[0.49, 0.56]","1.00 *** CI=[1.00, 1.00]"
