,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R1.3-M,R,FAIR
A2-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A,"nan  CI=[nan, nan]","0.52 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.56 *** CI=[0.25, 0.78]","0.29  CI=[nan, nan]","nan  CI=[nan, nan]","0.65 *** CI=[0.40, 0.83]","0.99 *** CI=[0.97, 1.00]","nan  CI=[nan, nan]","0.61 *** CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.44 ** CI=[0.07, 0.72]","0.42 ** CI=[nan, nan]","-0.18  CI=[nan, nan]","0.28  CI=[-0.18, 0.65]","0.06  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.44 ** CI=[0.04, 0.73]","0.37 * CI=[-0.00, 0.66]","0.67 *** CI=[0.40, 0.86]"
I1-D,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
I1-M,"nan  CI=[nan, nan]","0.62 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.37 * CI=[0.10, 0.58]","0.35 * CI=[nan, nan]","nan  CI=[nan, nan]","0.49 *** CI=[0.26, 0.67]","0.35 * CI=[0.04, 0.65]","nan  CI=[nan, nan]","0.73 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.44 ** CI=[0.07, 0.72]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.50 *** CI=[nan, nan]","0.12  CI=[nan, nan]","0.87 *** CI=[nan, nan]","0.14  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.84 *** CI=[0.62, 0.96]","0.66 *** CI=[0.46, 0.80]"
I2,"nan  CI=[nan, nan]","0.83 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.37 * CI=[nan, nan]","0.68 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.39 * CI=[nan, nan]","0.34 * CI=[nan, nan]","nan  CI=[nan, nan]","0.69 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.42 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.50 *** CI=[nan, nan]","1.00 *** CI=[nan, nan]","0.06  CI=[nan, nan]","0.49 *** CI=[nan, nan]","0.07  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.50 *** CI=[nan, nan]","0.42 ** CI=[nan, nan]","0.38 * CI=[nan, nan]"
I3-D,"nan  CI=[nan, nan]","0.07  CI=[nan, nan]","nan  CI=[nan, nan]","0.23  CI=[nan, nan]","0.04  CI=[nan, nan]","nan  CI=[nan, nan]","0.24  CI=[nan, nan]","-0.22  CI=[nan, nan]","nan  CI=[nan, nan]","0.09  CI=[nan, nan]","nan  CI=[nan, nan]","-0.18  CI=[nan, nan]","nan  CI=[nan, nan]","0.12  CI=[nan, nan]","0.06  CI=[nan, nan]","1.00 *** CI=[nan, nan]","0.60 *** CI=[nan, nan]","0.23  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.12  CI=[nan, nan]","0.22  CI=[nan, nan]","0.27  CI=[nan, nan]"
I,"nan  CI=[nan, nan]","0.58 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.43 ** CI=[0.13, 0.69]","0.34 * CI=[nan, nan]","nan  CI=[nan, nan]","0.53 *** CI=[0.23, 0.73]","0.19  CI=[-0.22, 0.55]","nan  CI=[nan, nan]","0.65 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.28  CI=[-0.18, 0.65]","nan  CI=[nan, nan]","0.87 *** CI=[nan, nan]","0.49 *** CI=[nan, nan]","0.60 *** CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.23  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.87 *** CI=[0.65, 1.00]","0.78 *** CI=[0.49, 0.95]","0.67 *** CI=[0.42, 0.83]"
R1.1,"nan  CI=[nan, nan]","0.09  CI=[nan, nan]","nan  CI=[nan, nan]","0.44 ** CI=[nan, nan]","0.05  CI=[nan, nan]","nan  CI=[nan, nan]","0.44 ** CI=[nan, nan]","0.04  CI=[nan, nan]","nan  CI=[nan, nan]","0.10  CI=[nan, nan]","nan  CI=[nan, nan]","0.06  CI=[nan, nan]","nan  CI=[nan, nan]","0.14  CI=[nan, nan]","0.07  CI=[nan, nan]","0.23  CI=[nan, nan]","0.23  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.14  CI=[nan, nan]","0.66 *** CI=[nan, nan]","0.49 *** CI=[nan, nan]"
R1.2,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
R1.3-D,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
R1.3-M,"nan  CI=[nan, nan]","0.62 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.37 * CI=[nan, nan]","0.35 * CI=[nan, nan]","nan  CI=[nan, nan]","0.49 *** CI=[0.27, 0.67]","0.35 * CI=[-0.01, 0.64]","nan  CI=[nan, nan]","0.73 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.44 ** CI=[0.04, 0.73]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.50 *** CI=[nan, nan]","0.12  CI=[nan, nan]","0.87 *** CI=[0.65, 1.00]","0.14  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","0.84 *** CI=[0.62, 0.97]","0.66 *** CI=[nan, nan]"
R,"nan  CI=[nan, nan]","0.52 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.52 *** CI=[0.26, 0.71]","0.29  CI=[nan, nan]","nan  CI=[nan, nan]","0.62 *** CI=[0.42, 0.77]","0.29  CI=[-0.04, 0.58]","nan  CI=[nan, nan]","0.61 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.37 * CI=[-0.00, 0.66]","nan  CI=[nan, nan]","0.84 *** CI=[0.62, 0.96]","0.42 ** CI=[nan, nan]","0.22  CI=[nan, nan]","0.78 *** CI=[0.49, 0.95]","0.66 *** CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.84 *** CI=[0.62, 0.97]","1.00 *** CI=[1.00, 1.00]","0.77 *** CI=[0.58, 0.87]"
FAIR,"nan  CI=[nan, nan]","0.45 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.89 *** CI=[0.74, 0.97]","0.27  CI=[nan, nan]","nan  CI=[nan, nan]","0.95 *** CI=[0.89, 0.98]","0.64 *** CI=[0.37, 0.83]","nan  CI=[nan, nan]","0.52 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.67 *** CI=[0.40, 0.86]","nan  CI=[nan, nan]","0.66 *** CI=[0.46, 0.80]","0.38 * CI=[nan, nan]","0.27  CI=[nan, nan]","0.67 *** CI=[0.42, 0.83]","0.49 *** CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.66 *** CI=[nan, nan]","0.77 *** CI=[0.58, 0.87]","1.00 *** CI=[1.00, 1.00]"
